customer_key,customer_unique_id,total_spend,order_cnt,avg_order_value,avg_review_score,order_cancelled_cnt,avg_day_return_to_buy,cluster
37632,6b5b8b2ddfb5c697069f7f2c2f5e0283,299.0,1,299.0,4.0,0,0.0,0
37633,5d1fbc54800abf1e1e85f65c5996bf23,110.9,1,110.9,5.0,0,0.0,0
37634,79123436facaa9208911e94a1565bc86,304.91,1,304.91,5.0,0,0.0,0
37635,4dd1fb5dc901ff9a6077edf5b8572e5a,132.9,1,132.9,5.0,0,0.0,0
37637,0d27fea6fcc6a35693bbbe15b9984313,940.5,1,940.5,5.0,0,0.0,2
37638,d2a0255eb576fd3d89768451caf3d3ea,38.0,1,38.0,5.0,0,0.0,0
37639,c651e73ed40cb34bcb71f124c8e96b15,110.0,1,110.0,5.0,0,0.0,0
37640,6e2cb7d235a7351d31b5f1994c4f5001,35.9,1,35.9,5.0,0,0.0,0
37641,bcf93ec8143c2c7829ade1a365360838,80.0,1,80.0,3.0,0,0.0,0
37642,14d4c6468374f217d4ef9e134799ffe4,24.89,1,24.89,4.0,0,0.0,0
37643,6b71b278a4b34793e593afe926bd0123,49.99,1,49.99,1.0,0,0.0,0
37644,83e275aa6842700143e51815fedef692,89.9,1,89.9,5.0,0,0.0,0
37645,0fd87d5e030a90098f2eb5d78c4f14f4,86.99,1,86.99,3.0,0,0.0,0
37646,a929fd5ea83b797590cab6496b5b17c2,106.0,1,106.0,5.0,0,0.0,0
37647,383d3467a4c68eb30648087a9373525b,98.9,1,98.9,3.0,0,0.0,0
37648,4bac53ed80702b5842e3aadd06998538,149.0,1,149.0,5.0,0,0.0,0
37649,104db57722138cf0f74966b43030a0dd,29.99,1,29.99,4.0,0,0.0,0
37650,c11f76d3806da64a4c64ea47627444e2,1727.0,1,1727.0,1.0,0,0.0,2
37651,55df93f592e064d6c3f456160d848d00,14.9,1,14.9,5.0,0,0.0,0
37652,85d68668dd9a06dab771bd981139423a,176.0,1,176.0,5.0,0,0.0,0
37653,15fcdf53d7a8d73fe5e95abe5d965b6c,88.34,1,88.34,5.0,0,0.0,0
37654,972b3cab9d228d92b56e7d3c5e131d86,69.9,1,69.9,1.0,0,0.0,0
37655,cca887781e465f3b8aaaa7046b0f1016,29.99,1,29.99,5.0,0,0.0,0
37656,318259783b4420b8cb93f3bfd8800281,299.0,1,299.0,5.0,0,0.0,0
37657,7baa53c871409eb1940b6b4188b7a8eb,59.9,1,59.9,4.0,0,0.0,0
37658,d2f122bc3109d7fb2385daec2d6ef7f7,99.9,1,99.9,4.0,0,0.0,0
37659,0adf3b0ad1b1b68561e64ab79e890c1b,45.9,1,45.9,1.0,0,0.0,0
37660,5402d604c8dc1601c10752042437ff95,139.9,1,139.9,5.0,0,0.0,0
37661,09dbe1dd4da682e97b14151ff8677f34,24.9,1,24.9,5.0,0,0.0,0
37662,a7f21a9577f8813f7dd7c2b57c4ee7fa,40.05,1,40.05,1.0,0,0.0,0
37663,8147f54b5645058999344b9b39902eee,34.9,1,34.9,1.0,0,0.0,0
37664,9ad975523c3a2bad3b00ae2a5f2c34f4,99.0,1,99.0,5.0,0,0.0,0
37665,69e4e4d53b15424185b03157e1310a54,29.9,1,29.9,5.0,0,0.0,0
37667,25c92a3613e1f6a804252e7ec51b2037,121.99,1,121.99,1.0,0,0.0,0
37668,cfb21d22f8a26e71d30ef7215c05c83a,49.9,1,49.9,5.0,0,0.0,0
37669,ecd33f750e25a3b5587a040a456a2854,46.9,1,46.9,5.0,0,0.0,0
37670,6cc4314c23dcda2c625df58516cdd853,724.0,1,724.0,5.0,0,0.0,2
37671,3ae522de6b23a3699ef105d4c4b3b82d,53.99,2,26.995,4.0,0,41.0,0
37672,989678100dbad0f75fedaa8719e17009,137.9,1,137.9,1.0,0,0.0,0
37673,9f3a4f9a67346ae72d8edc3b766e664f,56.99,1,56.99,1.0,0,0.0,0
37674,f0097ead71766e874922dd6add3bfc08,12.9,1,12.9,4.0,0,0.0,0
37675,3b0bb03a1592b488c3a77d5f6ddc06ac,969.99,1,969.99,5.0,0,0.0,2
37676,901958bfdcc5d716ad357c6cdba5244a,429.9,1,429.9,5.0,0,0.0,0
